阶段,阶段内排序,词项,总词频,文献频次,词云权重,进入词频统计文献数
2021-2025,59,分子,3903,2504,0.121855,31222
2021-2025,60,聚合物,3874,1676,0.120949,31222
2021-2025,61,预测,3699,2085,0.115485,31222
2021-2025,62,富集,3665,2333,0.114424,31222
2021-2025,63,多孔,3521,2082,0.109928,31222
2021-2025,64,选择性,3496,2181,0.109148,31222
2021-2025,65,成本,3439,2580,0.107368,31222
2021-2025,66,复合材料,3370,1712,0.105214,31222
2021-2025,67,强度,3340,1911,0.104277,31222
2021-2025,68,表面活性剂,3212,965,0.100281,31222
2021-2025,69,去除,3210,1696,0.100219,31222
2021-2025,70,反应,3190,2220,0.099594,31222
2021-2025,71,轻质,3172,2100,0.099032,31222
2021-2025,72,扩散,3132,1621,0.097783,31222
2021-2025,73,饱和度,3128,1430,0.097658,31222
2021-2025,74,黏度,3124,1505,0.097534,31222
2021-2025,75,运移,3085,1750,0.096316,31222
2021-2025,76,生长,3028,1970,0.094536,31222
2021-2025,77,提高采收率,3000,1177,0.093662,31222
2021-2025,78,分离,2941,1618,0.09182,31222
2021-2025,79,埋深,2913,1913,0.090946,31222
2021-2025,80,勘探,2888,1969,0.090165,31222
2021-2025,81,降解,2862,1424,0.089354,31222
2021-2025,82,河道,2828,1422,0.088292,31222
2021-2025,83,传输,2807,1756,0.087637,31222
2021-2025,84,砂体,2804,1054,0.087543,31222
2021-2025,85,速度,2789,1415,0.087075,31222
2021-2025,86,有机质,2778,1465,0.086731,31222
2021-2025,87,优化,2771,1701,0.086513,31222
2021-2025,88,黏土,2763,1234,0.086263,31222
2021-2025,89,纳米颗粒,2708,1505,0.084546,31222
2021-2025,90,准确率,2677,1854,0.083578,31222
2021-2025,91,流体,2637,1522,0.082329,31222
2021-2025,92,泡沫,2576,536,0.080425,31222
2021-2025,93,阻力,2574,1784,0.080362,31222
2021-2025,94,评价,2560,1807,0.079925,31222
2021-2025,95,溶剂,2555,1243,0.079769,31222
2021-2025,96,建立,2540,2240,0.079301,31222
2021-2025,97,稠油,2538,1182,0.079238,31222
2021-2025,98,芳香族,2524,1339,0.078801,31222
2021-2025,99,角度,2415,1393,0.075398,31222
2021-2025,100,动力学,2388,1674,0.074555,31222
