机构标准名,总频次,CNKI频次,WOS频次,CSCD频次
伊朗石油工业大学,124,0,124,0
列日大学,124,0,124,0
阿塞拜疆国家石油公司,124,0,124,0
马拉加大学,124,0,124,0
克劳斯塔尔工业大学,124,1,123,0
安蒂奥基亚大学,123,0,123,0
沙希德贝赫什提大学,123,0,123,0
索邦大学,123,0,123,0
蒙特利尔理工学院,123,0,123,0
宁波工程学院,123,1,122,0
河北工程大学,123,7,111,5
兰州交通大学,123,32,82,9
新里斯本大学,122,0,122,0
热那亚大学,122,0,122,0
中国石油辽河油田公司,122,58,4,60
圣地亚哥-德孔波斯特拉大学,121,0,121,0
堪萨斯州立大学,121,0,121,0
科罗拉多州立大学,121,0,121,0
青岛农业大学,121,1,119,1
北达科他大学,121,0,118,3
山东师范大学,121,4,116,1
中国国土资源部,121,2,115,4
沉积地质研究所,121,25,1,95
巴勒莫大学,120,0,120,0
河南农业大学,120,1,119,0
浙江科技大学,120,0,117,3
中国石油天然气管道工程有限公司,120,120,0,0
海洋石油工程股份有限公司,120,120,0,0
南澳大学,119,0,119,0
卢布尔雅那大学,119,0,119,0
哈佛大学,119,0,119,0
湖北工业大学,119,14,105,0
中国石化地球物理研究院,119,43,0,76
嘉兴大学,118,0,118,0
洛斯阿拉莫斯国家实验室,118,0,118,0
瑞典农业科学大学,118,0,118,0
瓦赫宁根大学,118,0,118,0
坎特伯雷大学,118,0,117,1
东京农工大学,117,0,117,0
南京邮电大学,117,0,117,0
康考迪亚大学,117,0,117,0
贝拿勒斯印度教大学,117,0,117,0
阿斯顿大学,117,0,117,0
鲁东大学,117,4,113,0
伦斯勒理工学院,116,0,116,0
埃克塞特大学,116,0,116,0
南安普顿大学,116,0,115,1
伊朗国家石油公司,115,0,115,0
加济大学,115,0,115,0
加的斯大学,115,0,115,0
大连洁净能源国家实验室,115,0,115,0
宾夕法尼亚大学,115,0,115,0
神户大学,115,0,115,0
罗维拉-维尔吉利大学,115,0,115,0
阿根廷国家科学技术研究委员会,115,0,115,0
达尔豪斯大学,115,0,114,1
上海师范大学,115,3,112,0
南昆士兰大学,114,0,114,0
壳牌国际勘探与生产公司,114,0,114,0
里约热内卢州立大学,114,0,114,0
吉林师范大学,114,3,110,1
南京工程学院,114,0,105,9
第二采油厂,114,21,0,93
卡伊德阿扎姆大学,113,0,113,0
墨西哥自治都市大学,113,0,113,0
天津商业大学,113,1,112,0
坎皮纳斯大学,113,0,112,1
不来梅大学,112,0,112,0
泰国农业大学,112,0,112,0
澳门科技大学,112,0,112,0
国家重点实验室石油天然气储库地质埃克斯普勒欧伊特阿特约恩斯欧斯瓦埃斯特石油大学,112,34,2,76
大庆油田采油六厂,112,112,0,0
圣埃斯皮里图联邦大学,111,0,111,0
早稻田大学,111,0,111,0
东海大学,110,0,110,0
中国农业农村部,110,0,110,0
喀山国家研究技术大学,110,0,110,0
广西师范大学,110,0,110,0
普瓦捷大学,110,0,110,0
雅盖隆大学,110,0,110,0
大庆油田有限责任公司勘探开发研究院,110,109,0,1
圣母大学,109,0,109,0
密西西比州立大学,109,0,109,0
浙江工商大学,109,0,109,0
西安近代化学研究所,109,5,104,0
英国地质调查局,109,7,100,2
工程技术研究所,109,17,6,86
中石化胜利油田分公司,109,109,0,0
华沙理工大学,108,0,108,0
哈恩大学,108,0,108,0
